    customer_id order_placed_at  revenue  order_id
0             2      2022-09-01       27         1
1             2      2022-09-04       47         2
2             1      2022-09-05       29         3
3             1      2022-09-06       49         4
4             1      2022-09-14       35         5
5             1      2022-09-14       50         6
6             3      2022-09-19       27         7
7             4      2022-09-25       32         8
8             3      2022-09-27       41         9
9             2      2022-09-28       48        10
10            1      2022-10-08       21        11
11            2      2022-10-09       42        12
12            1      2022-10-09       42        13
13            3      2022-10-10       36        14
14            3      2022-10-10       34        15
15            4      2022-10-11       32        16
16            4      2022-10-12       28        17
17            1      2022-10-23       30        18
18            2      2022-10-25       38        19
19            1      2022-10-25       47        20
20            3      2022-10-26       42        21
21            3      2022-10-28       26        22
22            3      2022-10-28       32        23
23            1      2022-10-30       49        24
24            1      2022-10-31       31        25
25            3      2022-11-03       45        26
26            3      2022-11-04       29        27
27            4      2022-11-09       36        28
28            3      2022-11-10       30        29
29            1      2022-11-13       43        30
30            1      2022-11-16       41        31
31            4      2022-11-20       34        32
32            4      2022-11-27       22        33
33            2      2022-11-28       50        34
34            3      2022-11-30       27        35
35            4      2022-12-02       34        36
36            2      2022-12-03       35        37
37            4      2022-12-06       38        38
38            3      2022-12-08       47        39
39            4      2022-12-12       28        40
